Надтеречный РЭС;Надтеречная;Ф-5;44;0409197a-9ee1-48f2-9292-7310388ed112
Урус-Мартановский РЭС;Горец;Ф-19;49;042165bb-9a29-4299-943d-55a66cb984a5
Шелковской РЭС;Старогладовская;Ф-5;5;04371035-2372-45d9-9b18-c7a203d717da
Гудермесские ГЭС;Гудермес-Город;Ф-18;57;0444ef76-506d-4f89-8c71-a08b225981fa
Итум-Калинский РЭС;Итум-Кале;Ф-2;6;045127a6-7a53-4d8d-9c61-3b41f43c8552
Аргунские ГЭС;Бердыкель;Ф-4;42;045c5fc4-cee9-44e3-adc5-63275224cdd3
Урус-Мартановский РЭС;Урус-Мартан;Ф-6;10;045ff8fd-52c0-4c62-89e1-10338728f442
Гудермесский РЭС;Ойсунгур;Ф-6;8;04692623-3cde-4341-9577-6a750c9b6be7
Ачхой-Мартановский РЭС;Ачхой-Мартан;Ф-2;34;04722ff9-59fc-4507-968e-cb19f063df20
Шалинский РЭС;Шали;Ф-4;25;047af53d-cb8b-4f9f-97c7-f20a6a2a65fd
Грозненские ГЭС;Аэропорт;Ф-3;49;047d5733-1213-4332-a770-6d75782813fb
Гудермесские ГЭС;Гудермес-Город;Ф-14;20;04824437-ca22-468f-bde5-d333767c3170
Урус-Мартановский РЭС;Предгорная;Ф-4;5;04898cfe-0e83-4698-9bbd-ce74a6a461ed
Шалинский РЭС;Шали;Ф-7;19;0490bf46-b198-475c-8b6f-5ca82a2915b2
Гудермесские ГЭС;Гудермес-Город;Ф-18;28;04b084d7-3b74-4d88-b98e-2fede9984c8e
Ачхой-Мартановский РЭС;Ачхой-Мартан;Ф-2;8;04b867fc-786e-4243-b331-3f7ea88c4c2d
Гудермесские ГЭС;Гудермес-Город;Ф-22;28;04eb1d57-bbb8-46df-8036-842d7bd2a216
Наурский РЭС;Ищерская;Ф-4;2;0507a12b-05ba-4ecc-ada1-8e6629706813
Урус-Мартановский РЭС;Горец;Ф-3;15;050bc965-7993-4eca-882b-2ddc5539cf4f
Урус-Мартановский РЭС;Горец;Ф-3;10;051ab25e-1099-4f6c-a12a-7f26b52cdf13
Гудермесский РЭС;Ойсунгур;Ф-14;9;05265667-3ee0-4f71-a6f8-53c231d278f9
Гудермесский РЭС;Энгель-Юрт;Ф-1;84;052d8bc5-8aba-435e-8eb0-303d7fdb44b8
Урус-Мартановский РЭС;Горец;Ф-20;21;053380c6-ccb6-4edd-94f2-b38b43687602
Грозненские ГЭС;Северная;Ф-27;798;054fa769-3a23-4e44-8297-72b454bb723e
Гудермесский РЭС;Энгель-Юрт;Ф-1;23;055adce9-8924-4627-b3b5-a7e5d405a000
Курчалоевский РЭС;Ойсунгур;Ф-3;БН;056ba07f-4c20-4abe-93b0-e1262aefaf07
Надтеречный РЭС;Надтеречная;Ф-2;18;057960de-8757-4461-8f04-f62dde7032bc
Ачхой-Мартановский РЭС;Красноармейская;Ф-1;ТП-34;058519ad-6d45-4769-a4a1-71e461029702
Ножай-Юртовский РЭС;Беной;Ф-6;5;058788fb-a284-41e2-9afe-aa25fe2fe5ad
Ачхой-Мартановский РЭС;Катар-Юрт;Ф-4;13;058fa4ff-55a9-4247-8300-25cc7a3d90db
Гудермесские ГЭС;Гудермес-Город;Ф-17;15;05949b96-3450-4b10-bfc1-2b3362ade532
Грозненские ГЭС;Северная;Ф-33;712;059d6ce4-a8ae-4cae-9138-b074325cc3d3
Шалинский РЭС;Шали;Ф-3;25;05a40dd4-5f3f-42bc-b327-edf715cef0c7
Гудермесский РЭС;Гудермес-Город;Ф-16;76;05b693b7-f947-4c61-8bc7-477f10cc640e
Грозненские ГЭС;Холодильник;Ф-37;775;05cac89d-40ad-4f63-8172-ef541411cded
Грозненские ГЭС;Южная;Ф-6;КТП-643;05d993b7-cd56-4529-92dd-101fd9d110f9
Урус-Мартановский РЭС;Горец;Ф-3;20;05e4491f-6315-46b5-aed9-1bf8d19a4ae4
Грозненские ГЭС;Консервная;Ф-16;143;05ed939a-111c-4924-bb19-30bd7477c0e3
Шалинский РЭС;Шали;Ф-9;2;05f211a5-9665-4760-be09-217145ab338f
Грозненский РЭС;Толстой Юрт;Ф-5;4;05f971f7-a430-420d-a837-ee0ba5a31f50
Урус-Мартановский РЭС;Урус-Мартан;Ф-10;59;0600fb1a-81e6-4aa1-905c-5e61bc575e92
Шалинский РЭС;Шали;Ф-1;5;06095c7f-dd8d-42db-b20a-69b92e1f08a1
Ачхой-Мартановский РЭС;Катар-Юрт;Ф-6;1;061ca1c8-b61c-4c6d-a9a4-5c0696370e75
Гудермесский РЭС;Энгель-Юрт;Ф-3;23;0629a8b9-cf7a-4d33-84c0-d7692cb6db97
Урус-Мартановский РЭС;Урус-Мартан;Ф-10;21;06317407-c8ac-494d-a7b1-855f47a2ccde
Гудермесский РЭС;Гудермес-Сити;Ф-24;2;06348142-8802-4690-a50a-2208843326c9
Грозненский РЭС;Калаус;Ф-5;22;063904b1-5266-4d9c-a0cc-e2b310989c5c
Шелковской РЭС;Сар-Сакай;Ф-4;40;064a46d7-8f55-43e7-8569-0f7d09701896
Ачхой-Мартановский РЭС;Самашки;Ф-4;13;06685d8f-b565-4376-b4cd-0bca5c325cc7
Грозненские ГЭС;Аэропорт;Ф-3;3-46;067a259e-166f-443b-9202-fe1512070229
Урус-Мартановский РЭС;Урус-Мартан;Ф-8;7;067af146-8311-4651-97d5-0947f0abdaae
Грозненские ГЭС;ГРП-110;Ф-6;267;068043e1-f5e2-461e-86ab-4a5227fe1d7c
Урус-Мартановский РЭС;Урус-Мартан;Ф-1;38;06860bf6-4eb4-40a0-bc30-c17229ff7517
Гудермесский РЭС;АКХП;Ф-9;14;06910bbd-ac47-4064-92f0-42afbbd3312a
Грозненский РЭС;Правобережная;Ф-1;8;069447ec-f7fb-43b7-851c-ebfa83c04e8f
Ачхой-Мартановский РЭС;Ачхой-Мартан;Ф-2;41;069b2d90-5ccd-4479-85ce-f2bf28b1cecf
Ножай-Юртовский РЭС;Ножай-Юрт;Ф-5;19;06ccce70-84da-4724-9687-28206942e9aa
Итум-Калинский РЭС;Итум-Кале;Ф-2;24;06cdc1db-97b0-439f-a3bf-eba102abdb87
Урус-Мартановский РЭС;Алхазурово;Ф-8;26;06d25248-f50d-481f-ac40-0fd4b69a17e2
Гудермесские ГЭС;Гудермес-Город;Ф-24;44;06edaf74-a830-4fc1-95a6-07263898b2a4
Гудермесский РЭС;Гудермес-Город;Ф-16;4;06f5ebcc-57c4-454b-acf9-dab1a17bfac9
Урус-Мартановский РЭС;Красноармейская;Ф-11;4;07013749-0343-465d-9b3b-e1d6f1b20902
Грозненские ГЭС;Электроприбор;Ф-1;383;07086dc6-5dfe-4740-882a-de79c61a0956
Ножай-Юртовский РЭС;Ножай-Юрт;Ф-5;33;070c6dd1-3d3b-456d-b6ba-4c95a4d75d34
Веденский РЭС;Ведено;Ф-3;12;070fbde0-ab43-42ad-baaf-d9fbabdbfa52
Грозненский РЭС;Правобережная;Ф-1;15;07105e11-15ae-44fc-9198-e70edb4897fd
Гудермесский РЭС;Гудермес-Сити;Ф-23;52;07172c5d-2708-4c1a-9bce-1e317521b798
Надтеречный РЭС;Знаменская;Ф-7;14;073979d3-5cd0-4717-8974-aee682d02463
Урус-Мартановский РЭС;Алхазурово;Ф-7;ТП-26;0744af76-1393-40bb-a42d-5d60e0e2823d
Урус-Мартановский РЭС;Урус-Мартан-1;Ф-10;12;07472adb-81b0-4ddb-b430-fa105565c038
Гудермесский РЭС;Ойсунгур;Ф-19;19;074a724e-ed71-4882-94a9-e9cc1d487ccf
Аргунские ГЭС;Аргунская ТЭЦ;Ф-17;46;074f87b1-4dda-44d9-bade-e22e9a8f8b92
Гудермесские ГЭС;Гудермес-Город;Ф-1;3;076289f3-492e-46cb-bf51-1116d02657fd
Шалинский РЭС;Шали;Ф-1;3;0763e1f2-93d8-4bd3-9d4f-d5d1184ac7b9
Грозненские ГЭС;Октябрьская;Ф-4;19;0769ff80-7916-4e4e-a5aa-4b087c9931ac
Шалинский РЭС;Сержень-Юрт;Ф-3;08;07700dfb-9b8c-4126-8bb7-d068d7ed1edc
Надтеречный РЭС;Знаменская;Ф-5;44;07735c11-b929-4b65-8416-e9fe7c7a65ab
Гудермесские ГЭС;Гудермес-Город;Ф-14;25;0777787c-e69c-4d3f-92e8-aa905f49da9b
Гудермесские ГЭС;Гудермес-Город;Ф-17;3;078f89e7-9ff0-4c3e-acc8-2f978cf65527
Гудермесский РЭС;Ойсунгур;Ф-6;16;0794e003-1613-42c8-809c-07ade9fd27e9
Гудермесские ГЭС;Гудермес-Город;Ф-18;65;07bc37db-c50a-4411-ac20-0f4b6e6e30c0
Урус-Мартановский РЭС;Красноармейская;Ф-11;54;07be0492-72bb-4a98-832e-9e422af6e9f3
Урус-Мартановский РЭС;Красноармейская;Ф-11;3;07c0e533-dd0c-4283-ae6c-53ff6af52046
Ножай-Юртовский РЭС;Ножай-Юрт;Ф-3;14;07db3f64-cc56-4307-902f-5c6813b5ed08
Гудермесские ГЭС;Гудермес-Город;Ф-18;4;07e64483-3a47-4ed3-acd6-b2f4560c12d0
Урус-Мартановский РЭС;Горец;Ф-18;37;07f0cabb-cf81-467e-946b-2d8b46cf4a74
Аргунские ГЭС;Октябрьская;Ф-3;15;07fbe90d-e987-4315-aa3d-e74a1c411622
Гудермесский РЭС;Гудермес-Сити;Ф-24;107;0803fbb1-2602-4de7-9aa9-857ede6b61d0
Грозненский РЭС;Толстой Юрт;Ф-8;25;0812b449-1679-436e-8722-edfe26c451d6
Грозненские ГЭС;Южная;Ф-6;431;0821bafa-ba1a-4f3d-bc0d-8f3993050de3
Урус-Мартановский РЭС;Горец;Ф-19;29;082af3af-88fd-4b11-8fde-1432b280da4a
Шалинский РЭС;Шали;Ф-2;78;0831c6a9-e10a-4700-a494-5943329781d2
Веденский РЭС;Ведено;Ф-1;1;083ce3a9-081d-4f6a-b5f3-efe2bc5ac4a9
Курчалоевский РЭС;Бачи-Юрт;Ф-3;47;0841a3c2-7129-4139-bbe6-b03be7e3c71f
Урус-Мартановский РЭС;Предгорная;Ф-5;4;0844be08-994d-4be3-902d-93920b5435d2
Урус-Мартановский РЭС;Горец;Ф-20;26;0846cbe4-0b36-48c0-940a-f0f5417be3d2
Грозненские ГЭС;Холодильник;Ф-15;252;084b54a4-b641-47e9-876e-5b2f6660cb60
Гудермесский РЭС;Гудермес-Сити;Ф-24;18;084cba3b-9c36-41b6-b0a9-49d481a3916c
Шалинский РЭС;Шали;Ф-5;28;085d9856-bb41-4bce-8b06-54554e9ddd9e
Веденский РЭС;Ведено;Ф-1;8;085e3c10-0266-4955-982f-431c8d5ed5b0
Шалинский РЭС;Сержень-Юрт;Ф-3;3;0889a28d-8c25-4e3f-8c6b-5de991dbef13
Наурский РЭС;ИТК-2;Ф-6;8;08a6f00a-f8f9-4080-af7e-5070bae0fd66
Шалинский РЭС;Цемзавод;Ф-4;14;08a9e809-055a-4db9-8db0-5f1f50114077
Гудермесские ГЭС;Гудермес-Город;Ф-3;11;08b0f4e8-69c4-40de-8951-f8b0673dbb6d
Ачхой-Мартановский РЭС;Самашки;Ф-4;9;08b297cc-1bca-48f4-924b-de063bf5badb
Наурский РЭС;Калиновская;Ф-3;2;08bc996f-07b4-4d14-9500-b759ea4ecce3
Ачхой-Мартановский РЭС;Катар-Юрт;Ф-9;14;08c6793b-94ee-4879-8b94-c13bd0df77e0
Гудермесский РЭС;Ойсунгур;Ф-14;15;09005a5d-4f92-4794-923e-f64104e015a6
Урус-Мартановский РЭС;Урус-Мартан;Ф-2;44;090a769f-1193-40b9-a9a9-7a9089d7c9bf
Урус-Мартановский РЭС;Урус-Мартан;Ф-2;6;090d0972-3902-4d6e-b73e-cd44b0483a9b
Гудермесские ГЭС;Гудермес-Город;Ф-7;10;09130951-4bd3-4593-940b-aefab57824ba
Гудермесские ГЭС;Гудермес-Город;Ф-17;17;091f0655-913e-44c8-b46f-6198c2bddb3f
Итум-Калинский РЭС;Итум-Кале;Ф-4;23;091fae4e-bd02-4785-8428-c6a0642b4592
Гудермесские ГЭС;Гудермес-Сити;Ф-30;38;092ef3b5-3815-4957-8a7b-a8f3ac5a7ba3
Шалинский РЭС;Шали;Ф-9;23;0937cc9b-192c-4bec-b9b1-b2d014c96b04
Шалинский РЭС;АКХП;Ф-1;2;093a96fb-e6d7-4e8c-9402-f89ea69d3410
Гудермесские ГЭС;Гудермес-Город;Ф-22;43;096478f2-d2dc-4480-b169-79e52c0d0842
Шалинский РЭС;Шали;Ф-4;59;09697a1e-de6e-44de-b9b0-31f9b1653239
Гудермесские ГЭС;Гудермес-Сити;Ф-30;18;096e52c7-d1d8-4701-a216-49638c274c37
Наурский РЭС;Наурская;Ф-3;2;097362f0-c9df-4752-9e5f-5463b49b8287
Грозненские ГЭС;Перепривязать;Ф-4;8;0976efba-8555-4de5-b415-e0cd8e345a46
Урус-Мартановский РЭС;Урус-Мартан;Ф-10;42;09867a1c-d791-45bb-8f36-ed544eac0fc1
Аргунские ГЭС;АКХП;Ф-3;35;098db6d9-6765-4ed4-a3ca-8c2ba17d7b2f
Ножай-Юртовский РЭС;Ножай-Юрт;Ф-2;7;0992ad11-6a1c-4652-a41a-df5e80602f18
Урус-Мартановский РЭС;Урус-Мартан-1;Ф-10;26;09945908-6089-49b4-9069-47799d54d193
Грозненский РЭС;Электроприбор;ф-7;2;09a03368-1f77-419b-8f4e-3ea946ff1f6e
Шалинский РЭС;Аргунская ТЭЦ;Ф-15;9;09ad1245-78eb-4d13-bf9b-6af532226b60
Гудермесские ГЭС;Мединструмент;Ф-5;7;09cc341c-bfbc-42de-89eb-6f0bc49a99fc
Итум-Калинский РЭС;Итум-Кале;Ф-1;3;09f28a52-14f8-48f7-bf84-41b53e808746
Шалинский РЭС;Шали;Ф-4;72;09fe84e0-20fa-469b-9f97-b963ce293f83
Веденский РЭС;Ведено;Ф-4;13;0a2fd2a7-49bf-4a70-ae89-694abe5b2dc8
Грозненские ГЭС;Восточная;Ф-23;МТП-915;0a43d357-597a-43f5-9315-c8b38eb8111e
Курчалоевский РЭС;Бачи-Юрт;Ф-4;34;0a4844e4-597b-4de3-b1ee-3d3b81ca8ad2
Гудермесские ГЭС;Гудермес-Город;Ф-14;18;0a632d7e-691c-4ade-ae1b-4774165df5f9
Урус-Мартановский РЭС;Урус-Мартан;Ф-8;5;0a65f4b0-bd6e-444e-97bc-c2673335cad5
Курчалоевский РЭС;Бачи-Юрт;Ф-1;18;0a66f2d1-8634-4d05-80c5-9ed8845ba4cf
Аргунские ГЭС;Перепривязать;Ф-4;5;0a6a48ca-aec7-49db-90aa-375a96dc9f60
Урус-Мартановский РЭС;Урус-Мартан;Ф-2;29;0a6ca35c-cabe-4c2a-b1a2-a998cf268fbf
Шалинский РЭС;Сержень-Юрт;Ф-5;1;0a7ab31a-b3b1-4f08-ae32-793c55a28df8
Урус-Мартановский РЭС;Урус-Мартан;Ф-8;19;0a85f8a6-8c8b-4f30-8543-3eaf4b60502e
Грозненские ГЭС;Восточная;Ф-12;97;0a86f910-3954-450e-8b5a-3b8c656c498e
Урус-Мартановский РЭС;Горец;Ф-13;1;0a9560be-50a5-4484-83d0-82b237345617
Ножай-Юртовский РЭС;Ножай-Юрт;Ф-1;8;0aaecf29-8162-436e-be9e-98364e7a77b0
Гудермесский РЭС;Энгель-Юрт;Ф-3;27;0abfc3ce-a167-40c7-9690-93696a96ff66
Ножай-Юртовский РЭС;Ножай-Юрт;Ф-5;1;0acd9668-c8eb-415b-91ff-d4ccfc9b1bcb
Грозненский РЭС;Толстой Юрт;Ф-8;13;0adb00c8-c569-4f78-997c-fd2f5ccd045c
Ачхой-Мартановский РЭС;Катар-Юрт;Ф-4;23;0adfcf6f-3c9e-4df6-869f-a0387faa651c
Урус-Мартановский РЭС;Горец;Ф-19;37;0ae8bb12-b743-48a7-9103-ddded4f83574
Шелковской РЭС;Сар-Сакай;ф-7;10;0af54a6e-dd9c-44a4-a4bb-a66dbab9742f
Гудермесский РЭС;Гудермес-Сити;Ф-24;125;0af581c7-d299-454e-a029-102d58d65bf8
Грозненский РЭС;Толстой Юрт;Ф-1;13;0b0f5548-1602-4ea3-b4fe-ec839e4da173
Ачхой-Мартановский РЭС;Катар-Юрт;Ф-9;42;0b13e8ef-e426-4ed9-992b-e72e7c45563c
Урус-Мартановский РЭС;Красноармейская;Ф-16;31;0b1e1e44-e0ca-4a6e-af97-d504240d49f3
Аргунские ГЭС;Бердыкель;Ф-5;50;0b21d2fb-e97f-42ae-bdfc-1fe7b0a5c2f9
Ачхой-Мартановский РЭС;Ассиновская;Ф-4;1;0b35f61d-9c3c-4e10-892d-4c00c7621b60
Итум-Калинский РЭС;Итум-Кале;Ф-5;КРУН-10кВ;0b4280b4-0c38-412a-98bf-268d587a9eca
Грозненский РЭС;Петропавловская;Ф-5;2;0b48f7ba-75a3-4360-bfdc-f9aa8fc9aa2b
Шалинский РЭС;Сержень-Юрт;Ф-5;5;0b4caa08-ccd8-4ac2-9c03-28c4d82baa8e
Наурский РЭС;Наурская;Ф-4;4;0b51def7-a8e9-4344-ac66-cbae5efe2496
Надтеречный РЭС;Надтеречная;Ф-3;2;0b65eeec-d0b8-4844-ad34-1aebfeb9223f
Аргунские ГЭС;Бердыкель;Ф-4;2;0b7d3e21-177f-4aba-80f3-626654f61b9d
Шелковской РЭС;Червленная;Ф-7;21;0b9922b3-61d6-4afd-a4e3-2f794b552e28
Курчалоевский РЭС;Курчалой-110;Ф-1;46;0bab4313-d0ba-4963-b06c-238c24d67bf9
Курчалоевский РЭС;Бачи-Юрт;Ф-4;27;0bc0daf3-f136-4ed4-bd20-7bf209a66651
Урус-Мартановский РЭС;Горец;Ф-3;37;0bc1a502-c4a5-40fe-a8e6-b16eb5d65125
Гудермесский РЭС;Ойсунгур;Ф-6;4;0bc23651-7ba0-48dd-8c89-d20a8ec5ab29
Урус-Мартановский РЭС;Урус-Мартан;Ф-6;32;0bc8600d-5583-47b1-a684-aa89e01bf450
Веденский РЭС;Ведено;Ф-3;15;0bd0df66-97a6-4ab7-a5fd-584f8ce71137
Ачхой-Мартановский РЭС;Ачхой-Мартан;Ф-2;42;0be21100-41e2-4b16-82ff-e57c402d61f1
Гудермесский РЭС;Ойсунгур;Ф-14;18;0be79784-e6a5-4627-9f6f-58db27bffa9f
Шелковской РЭС;Шелковская-110;Ф-8;60;0bfe98be-c718-46af-82e8-a018889598e3
Грозненский РЭС;№84;Ф-3;12;0c0b390e-8538-47a3-abeb-c223c1dae3d0
Гудермесские ГЭС;Гудермес-Город;Ф-7;25;0c14b544-c453-4099-a98b-cb57064fbd3c
Шалинский РЭС;Сержень-Юрт;Ф-5;37;0c264034-efd9-49a6-91c0-7a59db4afaeb
Аргунские ГЭС;АКХП;Ф-7;196;0c2b103f-69d9-4d27-8b59-870de4249ccd
Урус-Мартановский РЭС;Горец;Ф-20;68;0c2e60e7-3cfa-435c-bafb-c81fc2d564af
Надтеречный РЭС;Гвардейская;Ф-3;7;0c4a7516-ddfc-4b8f-b497-a0a510240c54
Гудермесский РЭС;Ойсунгур;Ф-14;41;0c4dcf5c-e886-4d2a-b90f-f448b812366f
Урус-Мартановский РЭС;Урус-Мартан;Ф-3;30;0c593144-5283-4649-8568-5a5f812ce814
Веденский РЭС;Ведено;Ф-6;29;0c656f06-ebaa-4feb-b6ef-96e67a7391ce
Урус-Мартановский РЭС;Красноармейская;Ф-16;16;0c6da282-7835-4cc9-accb-883e228e27d1
Урус-Мартановский РЭС;Предгорная;Ф-2;8;0c6efbc6-cd61-49f7-bd43-316eb0e4ca52
Наурский РЭС;Николаевская;Ф-4;5;0c702139-bc74-4002-982e-724835561381
Урус-Мартановский РЭС;Горец;Ф-19;33;0c75c62d-518e-4ae3-9fbc-e15cc95c1886
Грозненский РЭС;Петропавловская;Ф-2;5;0c8161d2-3bbe-4445-addd-d136e59a3514
